Filename,Movement Detected,Animal Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0277.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0278.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0279.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0280.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0281.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0282.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0283.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0284.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0285.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0286.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0287.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0288.AVI,False,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0289.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0290.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0291.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0292.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0293.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0294.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0295.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0296.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0297.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0298.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0299.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0300.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0301.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0302.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0303.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0304.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0305.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0306.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0307.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0308.AVI,True,False
