Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0235.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0236.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0237.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0238.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0239.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0240.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0241.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0242.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0243.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0244.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0245.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0246.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0247.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0248.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0249.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0250.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0251.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0252.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0253.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0254.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0255.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0256.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0257.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0258.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0259.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0260.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0261.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0262.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0263.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0264.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0265.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0266.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0267.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0268.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0269.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0270.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0271.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0272.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0273.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0274.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0275.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0276.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0277.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0278.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0279.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0280.AVI,True
